Type,SKU,Grouped products,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Meta: qty_required,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
simple,6R3-12582-00-00,,"JOINT, HOSE 2 (FLUSHING KIT)",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,847.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,6R3-12583-00-00,,"GASKET, HOSE JOINT (FLUSHING KIT)",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,457.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,6R3-12581-00-00,,"JOINT, HOSE 1 (FLUSHING KIT)",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,847.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68T-12572-00-00,,ADAPTER (FLUSHING KIT),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1890.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,97780-60520-00,,"SCREW, TAPPING (FLUSHING KIT)",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,748.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68T-12535-10-00,,PLATE (REMOTE CONTROL ATTACH),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,2857.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,97095-06010-00,,BOLT (REMOTE CONTROL ATTACH),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,448.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,92995-06600-00,,WASHER (REMOTE CONTROL ATTACH),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,375.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
grouped,T8PLRZ1,"65W-45251-00-00, 69A-43113-00-00, 6G5-43145-01-00, 90386-14MA1-00, 90381-12M10-00, 69G-43311-10-4D, 90387-16M02-00, 90101-06020-00, 97095-06010-00, 90249-12M36-00, 97080-08016-00, 69A-43112-00-4D, 648-43114-01-00, 69A-43131-00-00, 90386-22MA4-00, 92995-08600-00, 90386-16MA7-00, 65W-43191-00-00, 90447-10001-00, 90110-08M05-00, 90386-16MA8-00, 6E0-43118-01-00, 90381-12M11-00, 6E7-43116-00-00, 92995-06600-00, 90201-08M00-00, 90109-08010-00, 69G-43818-00-00, 97885-08010-00, 69A-43111-00-4D, 65W-43192-00-00, 90185-22043-00, 90243-04M01-00, 63V-82127-00-00, 90465-13M97-00, 90185-08057-00, 90101-08M88-00, 92990-08600-00, 93430-10M00-00, 90201-08MA4-00, 91690-30018-00",BRACKET 1,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,,,"OEM Parts, PWC Parts & Supplies, PWC Parts & Supplies > Outboard Motors ",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images_small/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,69A-43111-00-4D,,"BRACKET, CLAMP 1",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,41160.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,69A-43112-00-4D,,"BRACKET, CLAMP 2",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,29272.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,6E0-43118-01-00,,"HANDLE, TRANSOM CLAMP",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1185.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,90243-04M01-00,,PIN,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,787.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,6E7-43116-00-00,,"SCREW, TRANSOM CLAMP",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,5107.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,648-43114-01-00,,"PAD, TRANSOM CLAMP",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1897.50,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ22.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
